,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
0,Uri: The Surgical Strike,tt8291224,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,tt0073707,Sholay,Sholay,0,1975,198,Action|Adventure|Comedy,tt8291224,8.4,35112.0
1,Rangeela Raja,tt9052964,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Rangeela_Raja_Official_Poster.jpg/220px-Rangeela_Raja_Official_Poster.jpg,https://en.wikipedia.org/wiki/Rangeela_Raja,tt0246825,Om Dar-B-Dar,Om Dar-B-Dar,0,1988,101,Drama,tt9472208,4.1,73.0
2,Battalion 609,tt9472208,,https://en.wikipedia.org/wiki/Battalion_609,tt0403935,Action Jackson,Action Jackson,0,2014,144,Action|Thriller,tt6986710,6.1,5549.0
3,The Accidental Prime Minister (film),tt6986710,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg,https://en.wikipedia.org/wiki/The_Accidental_Prime_Minister_(film),tt0443331,Milenge Milenge,Milenge Milenge,0,2010,109,Drama|Romance,tt8108208,6.0,1891.0
4,Why Cheat India,tt8108208,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Why_Cheat_India_poster.jpg/220px-Why_Cheat_India_poster.jpg,https://en.wikipedia.org/wiki/Why_Cheat_India,tt0839742,Bhopal: A Prayer for Rain,Bhopal: A Prayer for Rain,0,2014,96,Drama,tt6028796,7.3,280.0
5,Evening Shadows,tt6028796,,https://en.wikipedia.org/wiki/Evening_Shadows,tt0988655,A Flat,A Flat,0,2010,103,Drama|Horror|Romance,tt6078866,7.2,1595.0
6,Soni (film),tt6078866,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Soni_India_Netflix_Movie_Poster.jpg/220px-Soni_India_Netflix_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Soni_(film),tt10017956,Gone Kesh,Gone Kesh,0,2019,110,Drama,tt5013008,4.2,504.0
7,Fraud Saiyaan,tt5013008,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Fraud_Saiyyan_film_poster.jpg/220px-Fraud_Saiyyan_film_poster.jpg,https://en.wikipedia.org/wiki/Fraud_Saiyaan,tt10196464,Ramprasad Ki Tehrvi,Ramprasad Ki Tehrvi,0,\N,\N,Comedy|Drama,tt4971258,4.3,295.0
8,Bombairiya,tt4971258,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Bombairiya_poster.jpg/220px-Bombairiya_poster.jpg,https://en.wikipedia.org/wiki/Bombairiya,tt10324144,Article 15,Article 15,0,2019,130,Crime|Drama,tt6903440,6.5,7361.0
9,Manikarnika: The Queen of Jhansi,tt6903440,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,tt10443846,Yeh Saali Aashiqui,Yeh Saali Aashiqui,0,2019,\N,Thriller,tt7777196,5.1,2301.0
10,Thackeray (film),tt7777196,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Thackeray_film_poster.jpeg/220px-Thackeray_film_poster.jpeg,https://en.wikipedia.org/wiki/Thackeray_(film),tt10635372,Dee Saturday Night,Dee Saturday Night,0,2014,\N,Drama,tt8396186,2.8,235.0
11,Amavas,tt8396186,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Amavas_official_poster.jpg/220px-Amavas_official_poster.jpg,https://en.wikipedia.org/wiki/Amavas,tt10816510,P Se Pyaar F Se Faraar,P Se Pyaar F Se Faraar,0,2019,131,Crime|Drama|Romance,tt2395469,8.2,22440.0
12,Gully Boy,tt2395469,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Gully_Boy_poster.jpg/220px-Gully_Boy_poster.jpg,https://en.wikipedia.org/wiki/Gully_Boy,tt11007050,#Yaaram,#Yaaram,0,2019,\N,Comedy|Romance,tt9319812,5.6,183.0
13,Hum Chaar,tt9319812,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Hum_Chaar_poster.jpg/220px-Hum_Chaar_poster.jpg,https://en.wikipedia.org/wiki/Hum_Chaar,tt11046300,Ujda Chaman,Ujda Chaman,0,2019,120,Comedy,tt7639372,4.3,4817.0
14,Total Dhamaal,tt7639372,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Total_Dhamaal_poster.jpg/220px-Total_Dhamaal_poster.jpg,https://en.wikipedia.org/wiki/Total_Dhamaal,tt1124386,Pankh,Pankh,0,2010,98,Drama,tt8108200,7.5,2322.0
15,Sonchiriya,tt8108200,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Sonchiriya_poster.jpg/220px-Sonchiriya_poster.jpg,https://en.wikipedia.org/wiki/Sonchiriya,tt1127220,Mr Bhatti on Chutti,Mr Bhatti on Chutti,0,2012,\N,Comedy,tt8130968,7.9,15499.0
16,Badla (2019 film),tt8130968,https://upload.wikimedia.org/wikipedia/en/0/0c/Badla_poster.jpg,https://en.wikipedia.org/wiki/Badla_(2019_film),tt1172587,Delhi Safari,Delhi Safari,0,2012,96,Animation|Comedy|Drama,tt8055888,7.4,3969.0
17,Mard Ko Dard Nahi Hota,tt8055888,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Mard_Ko_Dard_Nahi_Hota.jpg/220px-Mard_Ko_Dard_Nahi_Hota.jpg,https://en.wikipedia.org/wiki/Mard_Ko_Dard_Nahi_Hota,tt1182884,Dulha Mil Gaya,Dulha Mil Gaya,0,2010,152,Comedy|Drama|Romance,tt7527082,7.7,560.0
18,Hamid (film),tt7527082,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Hamid_film_poster.jpg/220px-Hamid_film_poster.jpg,https://en.wikipedia.org/wiki/Hamid_(film),tt1183917,Teen Patti,Teen Patti,0,2010,142,Crime|Drama|Thriller,tt7778680,6.9,2391.0
19,Photograph (film),tt7778680,https://upload.wikimedia.org/wikipedia/en/7/71/Photograph_%282019_poster%29.png,https://en.wikipedia.org/wiki/Photograph_(film),tt1183944,Sadiyaan: Boundaries Divide... Love Unites,Sadiyaan: Boundaries Divide... Love Unites,0,2010,200,Drama|Romance,tt9795264,6.7,11.0
20,Risknamaa,tt9795264,,https://en.wikipedia.org/wiki/Risknamaa,tt1185412,Veer,Veer,0,2010,169,Action|Adventure|Drama,tt8207768,6.8,344.0
21,Mere Pyare Prime Minister,tt8207768,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Mere_Pyare_Prime_Minister_poster.jpg/220px-Mere_Pyare_Prime_Minister_poster.jpg,https://en.wikipedia.org/wiki/Mere_Pyare_Prime_Minister,tt1188982,Jai Ho,Jai Ho,0,2014,135,Action|Drama,tt9496212,5.3,124.0
22,22 Yards,tt9496212,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/22_Yards_film_poster.jpeg/220px-22_Yards_film_poster.jpeg,https://en.wikipedia.org/wiki/22_Yards,tt1188996,My Name Is Khan,My Name Is Khan,0,2010,165,Drama,tt6264938,7.4,10653.0
23,Kesari (film),tt6264938,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Kesari_poster.jpg/220px-Kesari_poster.jpg,https://en.wikipedia.org/wiki/Kesari_(film),tt1189006,Toonpur Ka Superrhero,Toonpur Ka Superrhero,0,2010,95,Action|Adventure|Animation,tt9105014,6.8,1335.0
24,Notebook (2019 film),tt9105014,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Notebook_film_poster.jpg/220px-Notebook_film_poster.jpg,https://en.wikipedia.org/wiki/Notebook_(2019_film),tt1191118,Hello Darling,Hello Darling,0,2010,\N,Comedy|Drama,tt7463730,5.3,1064.0
25,Junglee (2019 film),tt7463730,https://upload.wikimedia.org/wikipedia/en/e/e2/Junglee_film_poster.jpg,https://en.wikipedia.org/wiki/Junglee_(2019_film),tt1191130,Right Yaaa Wrong,Right Yaaa Wrong,0,2010,135,Crime|Drama|Thriller,tt10017956,7.1,178.0
26,Gone Kesh,tt10017956,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Gone_Kesh_film_poster.jpg/220px-Gone_Kesh_film_poster.jpg,https://en.wikipedia.org/wiki/Gone_Kesh,tt1194232,Jaane Kahan Se Aayi Hai,Jaane Kahan Se Aayi Hai,0,2010,94,Comedy|Drama|Fantasy,tt4355838,4.8,56.0
27,Albert Pinto Ko Gussa Kyun Aata Hai?,tt4355838,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg/220px-Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg,https://en.wikipedia.org/wiki/Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai%3F,tt1194236,Paathshaala,Get Educated: Paathshaala,0,2010,122,Drama|Family,tt8108268,8.0,5524.0
28,The Tashkent Files,tt8108268,https://upload.wikimedia.org/wikipedia/en/7/79/The_Tashkent_Files_poster.jpg,https://en.wikipedia.org/wiki/The_Tashkent_Files,tt1198101,Kites,Kites,0,2010,123,Action|Drama|Romance,tt6988116,3.6,9106.0
