Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.0725695238605
India,IND,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.1087452675085
India,IND,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.2529520365932
India,IND,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.3577987120546
India,IND,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.6870933048728
India,IND,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.2735572326948
India,IND,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.3352782358364
India,IND,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.8639677087234
India,IND,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.6960785452215
India,IND,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.8742137147347
India,IND,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.4804994302153
India,IND,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.8809688922393
India,IND,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.608366557265
India,IND,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.1096455314276
India,IND,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.3700223904893
India,IND,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.02693916526083
India,IND,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.8683993166373
India,IND,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.71173369358016
India,IND,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.65872026048724
India,IND,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.92651723503999
India,IND,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.22545163847734
India,IND,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.18273297828699
India,IND,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.68555819281394
India,IND,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.7303262371942
India,IND,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.35043697588332
India,IND,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.15458172151234
India,IND,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.04887161548948
India,IND,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.02455535532995
India,IND,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.3380409269515
India,IND,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.38243877747838
India,IND,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.07249550909457
India,IND,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.86437802893493
India,IND,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.88110703283148
India,IND,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.13407773330224
India,IND,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.23981364756239
India,IND,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.20492406388574
India,IND,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.19065699004832
India,IND,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.1248508309808
India,IND,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.1946846643081
India,IND,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.74697389625325
India,IND,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.30300923882642
India,IND,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.14234904510675
India,IND,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.13807956450612
India,IND,1975,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,1.92443610200406
India,IND,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.1658321353386
India,IND,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.0686842872581
India,IND,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.853650362502
India,IND,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,51.0084850489017
India,IND,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,49.0238561698687
India,IND,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,49.8412107239714
India,IND,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,50.0903782845129
India,IND,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.0443147306109
India,IND,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,47.4269226377062
India,IND,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,52.0153001173887
India,IND,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.7161412749868
India,IND,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.5748250456684
India,IND,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.4079206331213
India,IND,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.8180919843713
India,IND,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,41.0947472418037
India,IND,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,40.2912282997345
India,IND,2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.8453417019755
India,IND,2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.2147637711746
India,IND,2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.4549107938997
India,IND,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,44.3976841236384
India,IND,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.1136827143616
India,IND,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.2340375069925
India,IND,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.8576309934404
India,IND,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.3127351084228
India,IND,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.9715139703497
India,IND,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.7360174950292
India,IND,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.5701140831711
India,IND,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.2889858174422
India,IND,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.7654262493989
India,IND,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.0930518643175
India,IND,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.6026162194108
India,IND,1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.1045209477409
India,IND,1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.9190935290845
India,IND,1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.1931381805294
India,IND,1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.0850793923675
