Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2018,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11417789536.2385
India,IND,2017,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11090150305.4241
India,IND,2016,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5047292605.54428
India,IND,2015,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,7514275638.80775
India,IND,2014,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11686480933.1169
India,IND,2013,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1764948800.03303
India,IND,2012,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,8553237671.30214
India,IND,2011,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,12607994609.7209
India,IND,2010,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,15968099287.9994
India,IND,2009,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,16095583746.9764
India,IND,2008,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,19256527246.1021
India,IND,2007,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,17026111929.0617
India,IND,2006,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,14036833331.6417
India,IND,2005,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2640754960.27173
India,IND,2004,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1837062923.45086
India,IND,2003,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1237846245.27551
India,IND,2002,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1261071114.73545
India,IND,2001,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1054132218.32253
India,IND,2000,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,509532974.710015
India,IND,1999,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,79357457.3169451
India,IND,1998,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,47593027.4887399
India,IND,1997,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,112918990.371739
India,IND,1996,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,239324706.532613
India,IND,1995,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,117189079.191142
India,IND,1994,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,82583302.703618
India,IND,1993,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,350640.561866436
India,IND,1992,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,24000000
India,IND,1991,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-11000000
India,IND,1990,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6000000
India,IND,1989,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,10000000
India,IND,1988,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11000000
India,IND,1987,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5000000
India,IND,1986,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-1000000
India,IND,1985,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3000000
India,IND,1984,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4000000
India,IND,1983,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5000000
India,IND,1982,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1000000
India,IND,1981,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2000000
India,IND,1980,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4000000
India,IND,2018,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.418798181322751
India,IND,2017,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.418093731602266
India,IND,2016,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.2203642125153
India,IND,2015,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.357212358308358
India,IND,2014,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.573111845183113
India,IND,2013,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0950572398365903
India,IND,2012,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.467994117573545
India,IND,2011,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.691588004127414
India,IND,2010,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.952969286389008
India,IND,2009,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.19947412506996
India,IND,2008,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.60618896894087
India,IND,2007,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.3993273766232
India,IND,2006,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.49286739182223
India,IND,2005,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.321893461290805
India,IND,2004,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.259051925109842
India,IND,2003,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.203693873815891
India,IND,2002,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.244897678899813
India,IND,2001,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.217149388190067
India,IND,2000,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.108782764710131
India,IND,1999,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.017295972981834
India,IND,1998,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0112953267973442
India,IND,1997,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0271526192209814
India,IND,1996,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0609128264405873
India,IND,1995,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0325270459713772
India,IND,1994,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0252335661078724
India,IND,1993,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.000125544413316538
India,IND,1992,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00832730652391985
India,IND,1991,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.00407248507571298
India,IND,1990,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00186928096933259
India,IND,1989,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00337789495059044
India,IND,1988,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00370883610962178
India,IND,1987,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00179189895603796
India,IND,1986,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.000401629007248905
India,IND,1985,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00129025663378956
India,IND,1984,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00188538517962069
India,IND,1983,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00229082186409195
India,IND,1982,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.000498218494807842
India,IND,1981,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00103364186603436
India,IND,1980,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00214678250151493
India,IND,2018,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,6781570846.83791
India,IND,2017,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,6958929627.68117
India,IND,2016,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,5622636934.7372
India,IND,2015,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,4882832496.02911
India,IND,2014,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,6221785952.85526
India,IND,2013,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,6431771261.44381
India,IND,2012,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,4963082153.94881
India,IND,2011,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,4077745355.88492
India,IND,2010,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,3828678498.46335
India,IND,2009,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2889988304.59485
India,IND,2008,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,3812363580.52741
India,IND,2007,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2059330846.41695
India,IND,2006,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1561865362.25486
India,IND,2005,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1348282857.83685
India,IND,2004,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1652783174.47976
India,IND,2003,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1265419810.02876
India,IND,2002,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,1186800148.05182
India,IND,2001,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,751084697.32803
India,IND,2000,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,486141918.920588
India,IND,1999,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,36167394.580906
India,IND,1998,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,44157098.0058677
India,IND,1997,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,161582930.284859
India,IND,1996,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,537989269.688786
India,IND,1995,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,419173566.673667
India,IND,1994,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,350832857.498815
India,IND,1993,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,259423927.228073
India,IND,1992,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,67776932.4476307
India,IND,1991,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,51584170.4257694
India,IND,1990,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,105592307.849846
India,IND,1989,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,98650077.82
India,IND,1988,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,93125846.86
India,IND,1987,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,65468292.24
India,IND,1986,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,42055763.24
India,IND,1985,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,30896383.29
India,IND,1984,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,27499765.4
India,IND,1983,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,39727378.85
India,IND,1982,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,13516844.75
India,IND,1981,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,15402512.55
India,IND,1980,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,29241802.22
India,IND,1979,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,10211729.05
India,IND,1978,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,57404830.93
India,IND,1977,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,11641249.66
India,IND,1976,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,9138853.073
India,IND,2018,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-30699661201.0258
India,IND,2017,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-28875941053.3143
India,IND,2016,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-39411278940.2538
India,IND,2015,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-36495216490.7242
India,IND,2014,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-22890162761.0214
India,IND,2013,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-26388082470.2872
India,IND,2012,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-15442447342.912
India,IND,2011,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-23890659988.138
India,IND,2010,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-11428785745.7844
India,IND,2009,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-19485789182.6878
India,IND,2008,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-24149749829.7088
India,IND,2007,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-8201628957.6202
India,IND,2006,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-5992285935.49798
India,IND,2005,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4628652265.34265
India,IND,2004,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3592188066.40631
India,IND,2003,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2444138426.15877
India,IND,2002,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3947895991.54349
India,IND,2001,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4073961343.30435
India,IND,2000,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3074684332.47754
India,IND,1999,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2089233597.0623
India,IND,1998,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2587058630.28267
India,IND,1997,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3464411051.97412
India,IND,1996,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2186732315.37831
India,IND,1995,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2026439031.09277
India,IND,1994,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-890688166.019256
India,IND,1993,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-550019384.367517
India,IND,1992,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-276512438.973893
India,IND,1991,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-73537638.3885329
India,IND,1976,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,7706430.54257424
India,IND,1975,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,10326246.7051639
India,IND,2018,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,9597939591.47163
India,IND,2017,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-30637784957.5154
India,IND,2016,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,4725209437.40443
India,IND,2015,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-9486642829.08658
India,IND,2014,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-37740318603.447
India,IND,2013,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-6857994918.39077
India,IND,2012,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-29285240146.0388
India,IND,2011,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-2664809741.51346
